Occupation,Education_Level,Experience_Required,Training_Required,Workers_Thousands,Growth_Rate_Pct,Annual_Openings_Thousands,Median_Annual_Wage
Nuclear power reactor operators,2,1,4,5.7,-15.3,0.4,122610
Nuclear technicians,5,1,3,6,-7.7,0.7,104240
Nurse anesthetists,7,1,1,53.8,8.6,2.7,223210
Nurse midwives,7,1,1,8.6,11.1,0.5,128790
Nurse practitioners,7,1,1,320.4,40.1,29.5,129210
Nursing assistants,4,1,1,1441.5,2.3,204.1,39530
"Nursing instructors and teachers, postsecondary",8,2,1,91.6,16.8,8.6,79940
Obstetricians and gynecologists,8,1,6,21.5,1.2,0.6,239200
Occupational health and safety specialists,6,1,1,131.9,12.5,14.9,83910
Occupational health and safety technicians,2,1,3,31.9,8.5,3.4,58440
Occupational therapists,7,1,1,160,13.8,10.2,98340
Occupational therapy aides,2,1,2,5.2,2.5,0.6,37370
Occupational therapy assistants,5,1,1,49.2,19.2,7.2,68340
"Office and administrative support workers, all other",2,1,2,232.9,-7.8,21.3,46040
"Office clerks, general",2,1,2,2646,-6.7,282.4,43630
"Office machine operators, except computer",2,1,2,25.5,-15.2,2.8,39020
Operating engineers and other construction equipment operators,2,1,3,489.3,3.6,41.9,58710
Operations research analysts,6,1,1,112.1,21.5,9.6,91290
Ophthalmic laboratory technicians,2,1,3,19.6,2.3,2.4,38420
Ophthalmic medical technicians,4,1,1,78.8,19.8,12.5,44080
"Ophthalmologists, except pediatric",8,1,6,12.5,4.3,0.3,239200
"Opticians, dispensing",2,1,4,79.9,2.9,6.8,46560
Optometrists,8,1,1,47.8,8,2.4,134830
Oral and maxillofacial surgeons,8,1,6,6.1,4.1,0.2,239200
Order clerks,3,1,2,89.5,-17.2,8,44660
Orderlies,2,1,2,54,3.3,7.8,37700
Orthodontists,8,1,6,5.9,4.4,0.2,239200
"Orthopedic surgeons, except pediatric",8,1,6,14.7,4.1,0.4,239200
Orthotists and prosthetists,7,1,6,10.1,13.3,0.9,78310
Outdoor power equipment and other small engine mechanics,2,1,3,36.9,2.5,3.5,46560
Packaging and filling machine operators and tenders,2,1,3,381.2,4.5,45.3,40900
"Packers and packagers, hand",1,1,2,591.8,-5.4,74,35580
"Painters, construction and maintenance",1,1,3,342.2,3.8,28.1,48660
"Painting, coating, and decorating workers",1,1,3,8.8,1.4,0.8,40860
"Paper goods machine setters, operators, and tenders",2,1,3,97.5,-6.3,8.1,49390
Paperhangers,1,1,4,2.3,5.3,0.2,48260
Paralegals and legal assistants,5,1,1,376.2,0.2,39.3,61010
Paramedics,4,2,1,101.9,5,4.9,58410
Parking attendants,1,1,2,135.7,3,18.5,34600
Parking enforcement workers,2,1,2,8.4,-1.5,0.7,47150
Parts salespersons,1,1,3,272.1,3.1,30.2,37440
Passenger attendants,2,1,2,25.6,4.7,4.1,37560
"Patternmakers, metal and plastic",2,1,3,1.6,-24.4,0.1,54540
"Patternmakers, wood",2,1,3,0.5,-5,0,52520
"Paving, surfacing, and tamping equipment operators",2,1,3,47,3.2,4,51650
Payroll and timekeeping clerks,2,1,3,161.1,-16.7,13,55290
Pediatric surgeons,8,1,6,1.1,1.5,0,239200
"Pediatricians, general",8,1,6,46.4,0.8,1.2,210130
"Personal care and service workers, all other",2,1,2,94.4,6.4,16.1,37900
Personal financial advisors,6,1,4,326,9.6,24.1,102140
"Personal service managers, all other",2,2,1,25.1,6.5,2.1,61340
Pest control workers,2,1,3,102.4,4.9,13.4,44730
"Pesticide handlers, sprayers, and applicators, vegetation",2,1,3,29.6,3.8,4.1,45200
Petroleum engineers,6,1,1,19.6,1.3,1.2,141280
"Petroleum pump system operators, refinery operators, and gaugers",2,1,3,34.9,-2.8,3.2,97540
Pharmacists,8,1,1,335.1,4.6,14.2,137480
Pharmacy aides,2,1,2,41.1,-0.1,6.1,37000
Pharmacy technicians,2,1,3,490.4,6.4,49,43460
"Philosophy and religion teachers, postsecondary",8,1,1,27.3,0.7,2,78050
Phlebotomists,4,1,1,139.7,5.6,18.4,43660
Photographers,2,1,3,151.2,1.8,12.7,42520
Photographic process workers and processing machine operators,2,1,2,11.2,-2.6,1.5,40100
"Physical scientists, all other",6,1,1,31.9,0.6,2,117960
Physical therapist aides,2,1,2,45.6,2.8,6.6,34520
Physical therapist assistants,5,1,1,111.5,22,19.8,65510
Physical therapists,8,1,1,267.2,10.9,13.2,101020
Physician assistants,7,1,1,162.7,20.4,12,133260
"Physicians, all other",8,1,6,340.7,2.5,9.6,239200
"Physicians, pathologists",8,1,6,12.6,4.2,0.4,239200
Physicists,8,1,1,24.6,4,1.7,166290
"Physics teachers, postsecondary",8,1,1,17.1,2.5,1.3,97360
Pile driver operators,2,1,3,3.2,4.3,0.3,70510
Pipelayers,1,1,2,34.4,-4.1,2.4,48710
"Plant and system operators, all other",2,1,3,16.3,1.6,1.6,61710
Plasterers and stucco masons,1,1,4,24.2,4.1,1.9,56020
"Plating machine setters, operators, and tenders, metal and plastic",2,1,3,31.7,-13.6,2.5,41600
"Plumbers, pipefitters, and steamfitters",2,1,5,504.5,4.5,44,62970
Podiatrists,8,1,6,9.7,1.8,0.3,152800
Police and sheriff's patrol officers,2,1,3,698.8,3.1,53.7,76290
"Political science teachers, postsecondary",8,1,1,21.8,2,1.6,94680
Political scientists,7,1,1,6.5,-3.1,0.5,139380
Postal service clerks,1,1,2,74.2,-3.5,6.1,61630
Postal service mail carriers,1,1,2,319.4,-3.5,20.6,57490
"Postal service mail sorters, processors, and processing machine operators",1,1,2,106.4,-8.4,7.8,56530
Postmasters and mail superintendents,2,2,3,13.1,-3.5,0.9,92730
"Postsecondary teachers, all other",8,1,1,183.4,1.8,13.5,78490
"Pourers and casters, metal",2,1,3,5.9,-4.7,0.6,48940
Power distributors and dispatchers,2,1,4,9.3,-3.2,0.8,107240
Power plant operators,2,1,4,31.6,-11.2,2.5,99670
"Precision instrument and equipment repairers, all other",2,1,4,10.8,2,1,67080
Prepress technicians and workers,4,1,1,26.2,-14.6,2.8,47300
"Preschool teachers, except special education",5,1,1,555.1,4.1,65.5,37120
"Pressers, textile, garment, and related materials",1,1,2,28.4,-13.5,2.8,33880
Print binding and finishing workers,2,1,3,35.8,-16.1,2.8,39820
Printing press operators,2,1,3,150.2,-8.1,13.7,45160
Private detectives and investigators,2,2,3,43.6,6,3.9,52370
Probation officers and correctional treatment specialists,6,1,3,92.3,2.6,7.9,64520
Procurement clerks,2,1,3,61.9,-8.7,4.6,48510
Producers and directors,6,2,1,167,4.9,12.8,83480
"Production workers, all other",2,1,3,292.8,0.5,31.6,38820
"Production, planning, and expediting clerks",2,1,3,388.8,-1.8,34.1,57770
Project management specialists,6,1,1,1046.3,5.6,78.2,100750
Proofreaders and copy markers,6,1,1,12,-0.6,1.9,49210
Property appraisers and assessors,6,1,4,77.3,3.8,6.3,65420
"Property, real estate, and community association managers",2,2,2,466.1,3.6,39,66700
Prosthodontists,8,1,6,0.9,4.5,0,239200
"Protective service workers, all other",2,1,2,84,2.5,23.3,41600
Psychiatric aides,2,1,2,38.5,-0.4,5.3,41590
Psychiatric technicians,4,2,2,144.5,20,15.9,42590
Psychiatrists,8,1,6,27.1,6.1,0.9,239200
"Psychologists, all other",7,1,6,55.3,4.3,3.9,117580
"Psychology teachers, postsecondary",8,1,1,52.5,3.6,4,80330
Public relations managers,6,3,1,83.2,5,6.6,138520
Public relations specialists,6,1,1,315.9,4.8,27.6,69780
Public safety telecommunicators,2,1,3,105.2,3.5,10.7,50730
"Pump operators, except wellhead pumpers",2,1,3,13.1,2.6,1.5,60020
Purchasing managers,6,3,1,83.5,3.1,6.4,139510
Radiation therapists,5,1,1,19.2,1.9,0.9,101990
"Radio, cellular, and tower equipment installers and repairers",5,1,3,11.7,8.6,1.2,64190
Radiologic technologists and technicians,5,1,1,228,4.3,12.9,77660
Radiologists,8,1,6,28.2,2.7,0.8,239200
Rail car repairers,2,1,4,17.9,2.8,1.5,65680
"Rail transportation workers, all other",2,1,3,1.6,3.9,0.2,49330
"Rail yard engineers, dinkey operators, and hostlers",2,1,3,3.1,0.3,0.2,58030
Rail-track laying and maintenance equipment operators,2,1,3,15,1.6,1.1,67370
"Railroad brake, signal, and switch operators and locomotive firers",2,1,3,11,1,1,65480
Railroad conductors and yardmasters,2,1,3,36.8,1.1,3.1,74080
Real estate brokers,2,2,1,111.3,3.3,9.7,72280
Real estate sales agents,2,1,3,420.9,3.1,36.6,56320
Receptionists and information clerks,2,1,2,1007.2,0,128.5,37230
"Recreation and fitness studies teachers, postsecondary",8,1,1,15.4,2.4,1.1,75890
Recreation workers,2,1,2,327.7,4.1,68.1,35380
Recreational therapists,6,1,1,16.1,3.3,1.3,60280
Recreational vehicle service technicians,2,1,4,19.5,11.5,2.8,50540
"Refractory materials repairers, except brickmasons",2,1,3,1.1,-16.9,0.1,58540
Refuse and recyclable material collectors,1,1,2,147.9,0.9,16.9,48350
Registered nurses,6,1,1,3391,4.9,189.1,93600
Rehabilitation counselors,7,1,1,91.9,1.4,10,46110
Reinforcing iron and rebar workers,2,1,5,19.4,4.6,1.5,59280
"Religious workers, all other",6,1,1,88.4,0.6,11.1,45120
Reservation and transportation ticket agents and travel clerks,2,1,2,131.9,2.8,14.4,41460
Residential advisors,2,1,2,91.2,3.8,17.4,39180
Respiratory therapists,5,1,1,139.6,12.1,8.8,80450
Retail salespersons,1,1,2,3936.7,-0.5,555.8,34580
Riggers,2,1,3,24.6,3.2,2.5,62060
"Rock splitters, quarry",1,1,2,3.2,4.4,0.4,47460
"Rolling machine setters, operators, and tenders, metal and plastic",2,1,3,22.5,-8.3,1.9,48630
"Roof bolters, mining",2,1,3,2.3,-34.2,0.1,76640
Roofers,1,1,3,166.7,5.9,12.7,50970
"Rotary drill operators, oil and gas",1,2,3,13.3,0.2,1.2,65010
"Roustabouts, oil and gas",1,1,3,46,2.5,4.3,47510
Sailors and marine oilers,1,1,3,32.1,2.3,3.9,49610
"Sales and related workers, all other",2,1,1,122.6,3.7,16,46370
Sales engineers,6,1,3,56.8,5.5,5,121520
Sales managers,6,2,1,619.5,4.7,49,138060
"Sales representatives of services, except advertising, insurance, financial services, and travel",2,1,3,1226.7,3.1,123,66260
"Sales representatives, wholesale and manufacturing, except technical and scientific products",2,1,3,1310.5,0.3,114.8,66780
"Sales representatives, wholesale and manufacturing, technical and scientific products",6,1,3,303.2,1.9,27.2,100070
"Sawing machine setters, operators, and tenders, wood",2,1,3,45,-0.6,4.8,39950
School bus monitors,2,1,2,71.4,-2.7,12.6,34980
School psychologists,7,1,6,67.2,0.7,3.8,86930
"Secondary school teachers, except special and career/technical education",6,1,1,1094.5,-1.6,66.2,64580
"Secretaries and administrative assistants, except legal, medical, and executive",2,1,2,1944,-1.6,202.8,46290
"Securities, commodities, and financial services sales agents",6,1,3,514.5,3.3,38.1,78140
Security and fire alarm systems installers,2,1,3,85.9,10.4,9.4,59300
Security guards,2,1,2,1262.1,0.4,161,38370
Self-enrichment teachers,2,2,1,417.5,3.7,51.4,45590
Semiconductor processing technicians,2,1,3,31.9,10.9,3.9,51180
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",2,1,3,54.4,-4.3,5.4,49500
Septic tank servicers and sewer pipe cleaners,2,1,3,30.4,7.6,2.9,49140
"Service unit operators, oil and gas",1,2,3,45.2,0.4,4.1,57980
Set and exhibit designers,6,1,1,31.3,2.3,2.5,66280
"Sewers, hand",1,1,3,5.4,-7,0.7,33760
Sewing machine operators,1,1,2,124,-10.8,13,36000
Shampooers,1,1,2,18.5,5.5,2.7,31470
Sheet metal workers,2,1,5,127,2.4,10.6,60850
Ship engineers,4,2,1,8.8,1.6,1.1,101320
"Shipping, receiving, and inventory clerks",2,1,2,862.2,-7.7,69.3,43190
Shoe and leather workers and repairers,2,1,3,9.5,-3.8,0.9,35950
Shoe machine operators and tenders,2,1,2,4.1,-3.7,0.4,38160
Shuttle drivers and chauffeurs,1,1,2,243.9,6.7,36.3,36670
Signal and track switch repairers,2,1,3,8.7,1.7,0.8,83600
Skincare specialists,4,1,1,97.4,6.7,14.5,41560
Slaughterers and meat packers,1,1,2,69.6,2.2,8.4,39790
Social and community service managers,6,2,1,219.8,6.4,18.6,78240
Social and human service assistants,2,1,2,449.6,6.4,50.6,45120
Social science research assistants,6,1,1,40.6,4.4,5.2,58040
"Social sciences teachers, postsecondary, all other",8,1,1,20.7,1.7,1.5,75040
"Social scientists and related workers, all other",6,1,1,40.8,-1.7,3.2,100340
"Social work teachers, postsecondary",8,1,1,17.1,2.3,1.3,76210
"Social workers, all other",6,1,1,81,3.9,7,69480
Sociologists,7,1,1,3.4,3.6,0.3,101690
"Sociology teachers, postsecondary",8,1,1,15.4,2.1,1.1,82540
Software developers,6,1,1,1693.8,15.8,115.2,133080
Software quality assurance analysts and testers,6,1,1,201.7,10,14,102610
Soil and plant scientists,6,1,1,20.7,5.4,1.7,71410
Solar photovoltaic installers,2,1,3,28.6,42.1,4.1,51860
Sound engineering technicians,4,1,2,16.9,-1.7,1.2,66430
"Special education teachers, all other",6,1,1,41,1.1,2.9,67430
"Special education teachers, kindergarten and elementary school",6,1,1,230.2,-1.8,15.4,63000
"Special education teachers, middle school",6,1,1,94.8,-1.9,6.3,64880
"Special education teachers, preschool",6,1,1,29.3,1.4,2.1,62190
"Special education teachers, secondary school",6,1,1,164.2,-1.6,11.1,69590
Special effects artists and animators,6,1,1,57.1,1.6,5,99800
Speech-language pathologists,7,1,6,187.4,15,13.3,95410
Stationary engineers and boiler operators,2,1,4,33.3,2.2,3.8,75190
Statistical assistants,6,1,1,6.5,-2.5,0.8,51440
Statisticians,7,1,1,32.2,8.5,2,103300
Stockers and order fillers,1,1,2,2764.8,8.5,472.3,37090
Stonemasons,2,1,5,12.1,-3,0.8,51990
Structural iron and steel workers,2,1,5,65.7,4.4,5.5,62700
Structural metal fabricators and fitters,2,1,3,53.8,-16.3,4.1,49900
"Substance abuse, behavioral disorder, and mental health counselors",7,1,6,483.5,16.8,48.3,59190
"Substitute teachers, short-term",6,1,1,510.1,1.6,61.1,38470
Subway and streetcar operators,2,1,3,9.6,3.4,0.9,84830
"Surgeons, all other",8,1,6,25.1,3.9,0.6,239200
Surgical assistants,4,1,1,25.3,5.1,1.6,60290
Surgical technologists,4,1,1,115.6,4.5,7,62830
Survey researchers,7,1,1,8.8,-5.2,0.7,63380
Surveying and mapping technicians,2,1,3,59.4,4.5,7.6,51940
Surveyors,6,1,6,56.1,4.4,3.9,72740
"Switchboard operators, including answering service",2,1,2,36.6,-26.3,2.8,38370
"Tailors, dressmakers, and custom sewers",1,1,3,38.8,-4.5,5,40860
"Tank car, truck, and ship loaders",1,1,2,12,4.3,1.3,58070
Tapers,1,1,3,15.6,0.1,1.1,64700
"Tax examiners and collectors, and revenue agents",6,1,3,57.6,-1.8,4.3,59740
Tax preparers,2,1,3,90.6,4.5,10.4,50560
Taxi drivers,1,1,2,204,11.1,22.6,36220
"Teachers and instructors, all other",6,1,1,153.8,-0.1,18,64690
"Teaching assistants, except postsecondary",3,1,1,1422.8,-1.5,170.4,35240
"Teaching assistants, postsecondary",6,1,1,193.6,3.1,24.6,44930
Technical writers,6,2,2,56.4,0.9,4.5,91670
"Telecommunications equipment installers and repairers, except line installers",4,1,3,156.9,-4.2,13.2,62630
Telecommunications line installers and repairers,2,1,4,99.9,-3.1,8.9,70500
Telemarketers,1,1,2,67.4,-22.1,6.5,34410
Telephone operators,2,1,2,4,-27.5,0.3,39130
Tellers,2,1,2,347.4,-12.9,29.8,39340
Terrazzo workers and finishers,2,1,5,1.5,-11.1,0.1,57260
Textile bleaching and dyeing machine operators and tenders,2,1,2,6.2,-10.1,0.7,37320
"Textile cutting machine setters, operators, and tenders",2,1,3,9.3,-11.7,1,37940
"Textile knitting and weaving machine setters, operators, and tenders",2,1,2,15.3,-11.2,1.7,38260
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",2,1,3,21.7,-9,2.5,37660
"Textile, apparel, and furnishings workers, all other",2,1,2,14.7,-9.4,1.7,37010
"Therapists, all other",6,1,1,56.1,11.5,4.1,65010
Tile and stone setters,1,1,4,52.6,10.1,4.2,52240
Timing device assemblers and adjusters,2,1,3,0.2,-17.5,0,40790
Tire builders,2,1,3,20.9,2.3,2.5,55580
Tire repairers and changers,2,1,2,113.4,5.7,15.3,37120
"Title examiners, abstractors, and searchers",2,1,3,57.4,2,5.4,54980
Tool and die makers,4,1,4,55.2,-10.8,4.7,63180
"Tool grinders, filers, and sharpeners",2,1,3,5.8,-7.8,0.5,48970
Tour and travel guides,2,1,3,55.8,8.1,13,36660
Traffic technicians,2,1,3,7.9,3.7,0.8,58480
Training and development managers,6,3,1,46.4,5.8,3.8,127090
Training and development specialists,6,2,1,452.3,10.8,43.9,65850
Transit and railroad police,2,1,3,3.1,3,0.2,82320
Transportation inspectors,2,1,3,25.7,1.7,2.5,85750
Transportation security screeners,2,1,2,50.1,-6,4.7,63360
"Transportation workers, all other",2,1,2,11.5,3.8,1.2,39630
"Transportation, storage, and distribution managers",2,3,1,216.7,6.1,18.5,102010
Travel agents,2,1,3,65.7,2.2,7.1,48450
Tree trimmers and pruners,2,1,2,60.1,3.3,7.4,50430
Tutors,3,1,1,215.5,0.6,37.1,40090
"Umpires, referees, and other sports officials",2,1,3,19.3,5.7,4.6,38820
"Underground mining machine operators, all other",1,1,3,3.6,-6.1,0.4,67220
Upholsterers,2,1,3,22.7,-1.8,2.2,46190
Urban and regional planners,7,1,1,44.7,3.4,3.4,83720
"Ushers, lobby attendants, and ticket takers",1,1,2,121.7,1.2,30.8,31150
Veterinarians,8,1,1,86.4,9.6,3,125510
Veterinary assistants and laboratory animal caretakers,2,1,2,117.8,8.7,22.2,37320
Veterinary technologists and technicians,5,1,1,134.2,9.1,14.3,45980
Waiters and waitresses,1,1,2,2329.7,-0.7,456.7,33760
Watch and clock repairers,2,1,4,1.4,-1.1,0.1,60690
Water and wastewater treatment plant and system operators,2,1,4,132.4,-6.5,10.7,58260
Web and digital interface designers,6,1,1,128.9,7,9.1,98090
Web developers,6,1,1,86,7.5,5.4,90930
"Weighers, measurers, checkers, and samplers, recordkeeping",2,1,2,49.8,-4.8,5.3,45650
"Welders, cutters, solderers, and brazers",2,1,3,457.3,2.2,45.6,51000
"Welding, soldering, and brazing machine setters, operators, and tenders",2,1,3,38.9,-9,3.2,47060
Wellhead pumpers,2,2,3,18.8,-4.7,2,70010
Wind turbine service technicians,4,1,4,13.6,49.9,2.3,62580
"Woodworkers, all other",2,1,3,17.6,-4.4,1.8,41220
"Woodworking machine setters, operators, and tenders, except sawing",2,1,3,63.1,-1.8,6.4,40440
Word processors and typists,2,1,2,40,-36.1,2.2,47850
Writers and authors,6,1,4,135.4,3.6,13.4,72270
Zoologists and wildlife biologists,6,1,1,18.2,1.6,1.4,72860
